Row,Deviation_White,Deviation_Gaussian,Deviation_Pink
"V_noise = 0.010, I_noise = 0.001",1.2031887899441,1.16246614131847,1.21017829840445
"V_noise = 0.010, I_noise = 0.050",3.76060479316647,3.61848789527952,3.66997805889787
"V_noise = 0.010, I_noise = 0.100",6.99735389899879,7.33885551025234,6.95902276681264
"V_noise = 0.050, I_noise = 0.001",1.19244117058635,1.14269999062118,1.21019094366249
"V_noise = 0.050, I_noise = 0.050",3.68583931556017,3.77158455185075,3.67113221137661
"V_noise = 0.050, I_noise = 0.100",6.6884924088422,7.55963473304723,6.96754479668463
"V_noise = 0.100, I_noise = 0.001",1.2322836251751,1.21251713707361,1.21048553391425
"V_noise = 0.100, I_noise = 0.050",3.60789974792963,3.68542849987325,3.66608743024289
"V_noise = 0.100, I_noise = 0.100",7.1900985593248,6.85662156948724,6.97049604185315
