Row,Deviation_White,Deviation_Gaussian,Deviation_Pink
"V_noise = 0.010, I_noise = 0.001",1.2031887899441,1.11211812623529,1.21017829840445
"V_noise = 0.010, I_noise = 0.050",3.76060479316647,3.4691498547624,3.66997805889787
"V_noise = 0.010, I_noise = 0.100",6.99735389899879,7.08394133177076,6.95902276681264
"V_noise = 0.050, I_noise = 0.001",1.19244117058635,1.09428081432765,1.21019094366249
"V_noise = 0.050, I_noise = 0.050",3.68583931556017,3.62817028328618,3.67113221137661
"V_noise = 0.050, I_noise = 0.100",6.6884924088422,7.31109279965123,6.96754479668463
"V_noise = 0.100, I_noise = 0.001",1.2322836251751,1.15756140632792,1.21048553391425
"V_noise = 0.100, I_noise = 0.050",3.60789974792963,3.53872083387946,3.66608743024289
"V_noise = 0.100, I_noise = 0.100",7.1900985593248,6.58623011662735,6.97049604185315
