Row,Deviation_White,Deviation_Gaussian,Deviation_Pink
"V_noise = 0.010, I_noise = 0.001",1.46829285533628,1.52930475924835,1.48158758632089
"V_noise = 0.010, I_noise = 0.050",4.72782721888112,4.39533516548096,4.68496454715697
"V_noise = 0.010, I_noise = 0.100",8.15345413356491,8.95097131937866,8.97139013954174
"V_noise = 0.050, I_noise = 0.001",1.51854109550229,1.51905324254504,1.48281776483854
"V_noise = 0.050, I_noise = 0.050",4.8391651465723,4.65878147468173,4.68387174208316
"V_noise = 0.050, I_noise = 0.100",8.5424797871945,9.29440882365421,8.96525877052272
"V_noise = 0.100, I_noise = 0.001",1.42050152393458,1.49100544226265,1.48156796562098
"V_noise = 0.100, I_noise = 0.050",4.57288170150115,4.68264014192468,4.68736775851306
"V_noise = 0.100, I_noise = 0.100",8.08429713386061,9.08199214960997,8.96494606932511
